0_,1_Symbol,2_Company Name,3_,4_High,5_Offer Shares,6_Offer Price,7_Close Price,8_Bid Price,9_Bid Shares,10_Low,11_Shares,12_Prev Close,13_Chg,14_%,15_Trades,16_Avg Price,17_52 Week High,18_52 Week Low,19_Riyal,Timestamp
,AKHI,Khaleej Ins,-,2.015,"19,534",1.999,1.999,1.985,"15,000",1.96,"900,678",2.005,-0.006,0.3,51,1.981,4.24,1.71,"1,784,009",2023-03-12 16:21:27.193387+00:00
,QGTS,Nakilat,-,3.521,"40,278",3.467,3.467,3.466,"6,642",3.45,"1,214,533",3.55,-0.083,2.34,146,3.473,4.23,3.315,"4,217,853",2023-03-12 16:21:27.193387+00:00
,GWCS,Warehousing,+,3.79,300,3.739,3.75,3.561,"1,185",3.477,"4,496",3.7,0.05,1.35,6,3.772,5.006,2.9,"16,957",2023-03-12 16:21:27.193387+00:00
,QEWS,Electricity &Water,-,17.62,"4,400",17.59,17.55,17.55,"13,098",17.52,"296,351",17.58,-0.03,0.17,240,17.58,20.0,16.76,"5,209,110",2023-03-12 16:21:27.193387+00:00
,QATI,Qatar Ins,-,1.65,"13,900",1.660,1.6,1.6,"25,000",1.6,"992,443",1.66,-0.06,3.61,59,1.615,2.59,1.5,"1,602,964",2023-03-12 16:21:27.193387+00:00
,QNNS,MILAHA,+,8.991,"1,608",8.973,8.785,8.785,"50,100",8.5,"2,047,938",8.69,0.095,1.09,316,8.801,12.66,7.755,"18,023,911",2023-03-12 16:21:27.193387+00:00
,MCGS,Medicare,-,6.165,500,6.088,6.099,5.98,"1,000",5.982,"116,690",6.148,-0.049,0.8,10,6.002,7.825,5.505,"700,378",2023-03-12 16:21:27.193387+00:00
,BEMA,Beema,+,4.1,"10,000",4.050,4.086,3.8,"5,000",4.086,33,3.899,0.187,4.8,2,4.089,5.6,3.6,134,2023-03-12 16:21:27.193387+00:00
,MERS,Al Meera,-,16.18,"1,275",16.14,15.9,15.95,"5,000",15.83,"8,719",16.01,-0.11,0.69,7,15.99,20.8,15.5,"139,458",2023-03-12 16:21:27.193387+00:00
,WDAM,Widam,-,1.401,"8,000",1.400,1.395,1.395,"19,836",1.395,"192,980",1.42,-0.025,1.76,22,1.4,3.405,1.302,"270,249",2023-03-12 16:21:27.193387+00:00
,QIMD,Ind.Manf Co,+,2.999,"4,534",2.985,2.985,2.96,"1,000",2.985,"5,332",2.984,0.001,0.03,3,2.986,4.149,2.823,"15,920",2023-03-12 16:21:27.193387+00:00
,QOIS,Qatar&Oman,+,0.56,"72,699",0.555,0.555,0.542,"20,200",0.54,"330,051",0.552,0.003,0.54,32,0.548,0.954,0.527,"180,989",2023-03-12 16:21:27.193387+00:00
,FALH,Al Faleh Education,+,1.089,"295,437",1.085,1.085,1.083,185,1.037,"215,450",1.046,0.039,3.73,24,1.059,1.718,1.006,"228,148",2023-03-12 16:21:27.193387+00:00
,AHCS,Aamal,-,0.9,"50,000",0.894,0.875,0.875,"13,575",0.872,"346,746",0.914,-0.039,4.27,21,0.884,1.33,0.872,"306,376",2023-03-12 16:21:27.193387+00:00
,DOHI,Doha Ins,-,1.95,"4,907",1.980,1.95,1.95,617,1.95,"4,383",1.98,-0.03,1.51,1,1.95,2.528,1.849,"8,546",2023-03-12 16:21:27.193387+00:00
,QISI,Islamic Ins,-,8.598,"8,284",8.598,8.598,8.223,"24,070",8.598,250,8.6,-0.002,0.02,1,8.598,9.475,7.97,"2,149",2023-03-12 16:21:27.193387+00:00
,ZHCD,Zad,-,14.2,"10,111",14.69,14.2,14.2,643,14.2,357,14.5,-0.3,2.07,1,14.2,20.95,13.4,"5,069",2023-03-12 16:21:27.193387+00:00
,QLMI,QLM,-,3.331,"9,765",3.600,3.24,3.242,"4,000",3.24,300,3.331,-0.091,2.73,3,3.316,6.64,3.24,994,2023-03-12 16:21:27.193387+00:00
,QGRI,General Ins,-,0.9,"5,000",0.950,0.895,0.9,"13,143",0.895,"71,857",0.95,-0.055,5.79,4,0.896,2.199,0.85,"64,387",2023-03-12 16:21:27.193387+00:00
,QETF,QETF,-,10.48,"2,035",10.426,10.43,10.402,"2,216",10.43,"5,972",10.666,-0.236,2.21,3,10.447,14.5,10.213,"62,388",2023-03-12 16:21:27.193387+00:00
,QATR,QATR,-,2.362,"84,028",2.362,2.362,2.359,"84,780",2.357,"43,010",2.407,-0.045,1.87,3,2.362,3.194,2.092,"101,589",2023-03-12 16:21:27.193387+00:00
,ABQK,Ahli B,-,3.906,"4,000",4.120,3.906,3.906,"10,000",3.906,"20,000",3.908,-0.002,0.05,2,3.906,4.42,3.85,"78,120",2023-03-12 16:21:27.193387+00:00
,QCFS,Cinema,=,0.0,"3,220",3.397,3.397,3.06,"3,554",0.0,0,3.397,0.0,0.0,0,0.0,3.79,2.79,0,2023-03-12 16:21:27.193387+00:00
,ORDS,Ooredoo,-,9.122,"195,276",9.000,9.0,8.911,"85,035",8.901,"760,468",9.022,-0.022,0.24,395,8.975,10.69,7.001,"6,825,361",2023-03-13 16:21:26.586547+00:00
,UDCD,United Dev,+,1.113,"314,096",1.099,1.099,1.086,"31,494",1.085,"1,817,579",1.095,0.004,0.36,147,1.097,1.662,1.06,"1,993,631",2023-03-13 16:21:26.586547+00:00
,DHBK,Doha B,=,1.684,"30,289",1.654,1.65,1.65,"40,000",1.649,"11,635,062",1.65,0.0,0.0,449,1.658,2.85,1.58,"19,287,870",2023-03-13 16:21:26.586547+00:00
,MKDM,Mekdam Holding Group,+,7.4,"17,978",7.400,7.378,7.378,721,7.104,"376,550",7.343,0.035,0.48,257,7.385,8.684,5.9,"2,780,658",2023-03-13 16:21:26.586547+00:00
,IQCD,Industries Qatar,+,14.38,"5,594",14.25,14.25,14.21,"12,468",14.18,"3,765,604",14.23,0.02,0.14,"1,563",14.27,20.35,12.7,"53,733,284",2023-03-13 16:21:26.586547+00:00
,MARK,Rayyan B,-,2.746,"20,060",2.719,2.719,2.717,"11,090",2.7,"14,461,543",2.74,-0.021,0.77,"1,561",2.724,5.98,2.582,"39,388,891",2023-03-13 16:21:26.586547+00:00
,IGRD,Estithmar,-,1.949,"588,758",1.894,1.894,1.893,"591,452",1.889,"7,781,754",1.915,-0.021,1.1,342,1.918,2.765,1.423,"14,927,855",2023-03-13 16:21:26.586547+00:00
,QAMC,QAMCO,+,1.75,"179,947",1.727,1.727,1.721,"22,846",1.711,"6,327,432",1.722,0.005,0.29,449,1.73,2.819,1.46,"10,944,580",2023-03-13 16:21:26.586547+00:00
,QNBK,QNB,-,16.53,"129,543",16.01,16.01,16.0,"164,268",15.82,"4,007,944",16.47,-0.46,2.79,"2,259",16.12,27.0,15.54,"64,609,573",2023-03-13 16:21:26.586547+00:00
,QIBK,QIB,-,18.89,"120,973",17.94,17.91,17.91,"373,022",17.83,"1,774,225",18.66,-0.75,4.02,838,18.3,28.0,17.83,"32,468,851",2023-03-13 16:21:26.586547+00:00
,GISS,Gulf Inter,-,1.855,"175,950",1.802,1.802,1.78,"257,000",1.78,"7,717,782",1.831,-0.029,1.58,311,1.814,2.348,1.449,"13,998,274",2023-03-13 16:21:26.586547+00:00
,QGMD,Qatar German Med,-,0.992,"32,157",0.952,0.942,0.942,"46,749",0.942,"1,277,946",0.966,-0.024,2.48,72,0.954,2.679,0.867,"1,219,775",2023-03-13 16:21:26.586547+00:00
,ERES,Ezdan,-,0.914,"15,199",0.885,0.883,0.883,"280,039",0.881,"4,093,718",0.914,-0.031,3.39,143,0.896,1.529,0.78,"3,667,533",2023-03-13 16:21:26.586547+00:00
,MRDS,Mazaya,-,0.59,"48,446",0.569,0.563,0.563,"714,237",0.563,"4,048,806",0.584,-0.021,3.6,98,0.574,1.003,0.522,"2,323,729",2023-03-13 16:21:26.586547+00:00
,DUBK,Dukhan Bank,-,3.045,"7,500",2.968,2.931,2.931,"37,748",2.931,"3,058,944",2.971,-0.04,1.35,322,2.969,4.0,2.84,"9,081,440",2023-03-13 16:21:26.586547+00:00
,MCCS,Mannai,-,6.25,"73,852",6.060,6.06,5.903,"1,850",5.902,"425,513",6.184,-0.124,2.0,107,6.115,14.79,5.592,"2,601,807",2023-03-13 16:21:26.586547+00:00
,QFBQ,Lesha Bank,-,0.887,"41,514",0.848,0.855,0.837,"5,000",0.793,"6,451,418",0.877,-0.022,2.51,115,0.847,1.902,0.793,"5,463,906",2023-03-13 16:21:26.586547+00:00
,QIGD,Investors,-,1.876,"68,107",1.859,1.859,1.845,"9,774",1.84,"2,790,004",1.876,-0.017,0.91,202,1.856,2.7,1.575,"5,179,450",2023-03-13 16:21:26.586547+00:00
,QFLS,Qatar Fuel,-,16.89,"5,103",16.35,16.32,16.32,"10,486",16.22,"565,266",16.55,-0.23,1.39,462,16.54,20.08,16.05,"9,351,077",2023-03-13 16:21:26.586547+00:00
,SIIS,Salam,-,0.555,"200,359",0.545,0.537,0.537,"110,000",0.537,"5,776,318",0.545,-0.008,1.47,106,0.546,1.154,0.481,"3,152,575",2023-03-13 16:21:26.586547+00:00
,BRES,Barwa,-,2.896,"30,641",2.849,2.849,2.824,"2,022",2.824,"2,424,727",2.857,-0.008,0.28,661,2.862,3.968,2.6,"6,938,581",2023-03-13 16:21:26.586547+00:00
,MPHC,Mesaied,-,2.068,"1,995",2.068,2.068,2.05,"18,610",2.029,"13,808,975",2.17,-0.102,4.7,524,2.04,3.127,1.995,"28,176,924",2023-03-13 16:21:26.586547+00:00
,VFQS,Vodafone,+,1.65,"284,987",1.647,1.647,1.635,"20,000",1.629,"1,002,494",1.635,0.012,0.73,143,1.639,1.796,1.5,"1,643,157",2023-03-13 16:21:26.586547+00:00
,QIIK,QIIB,+,10.34,"8,608",10.32,10.3,10.3,"10,000",10.27,"2,361,631",10.27,0.03,0.29,356,10.3,14.39,9.55,"24,324,594",2023-03-13 16:21:26.586547+00:00
,NLCS,Nat.leasing,-,0.666,"130,000",0.650,0.647,0.647,"24,748",0.646,"6,608,041",0.659,-0.012,1.82,175,0.654,1.021,0.64,"4,323,689",2023-03-13 16:21:26.586547+00:00
,IHGS,Inma,+,3.579,"26,556",3.350,3.35,3.25,"5,000",3.25,"2,329,016",3.34,0.01,0.3,173,3.487,6.68,2.8,"8,121,986",2023-03-13 16:21:26.586547+00:00
,CBQK,Commercial B,-,6.279,"32,664",6.199,6.199,6.195,"2,077",6.101,"3,034,836",6.23,-0.031,0.5,670,6.218,8.699,4.8,"18,871,886",2023-03-13 16:21:26.586547+00:00
,DBIS,Dlala,-,0.734,"276,692",0.704,0.704,0.69,"322,897",0.681,"2,951,271",0.72,-0.016,2.22,112,0.713,2.027,0.681,"2,105,592",2023-03-13 16:21:26.586547+00:00
,QNCD,Q Cement,-,4.298,"110,894",4.281,4.281,4.155,"3,224",4.143,"261,316",4.299,-0.018,0.42,48,4.178,5.589,4.12,"1,091,776",2023-03-13 16:21:26.586547+00:00
,BLDN,Baladna,+,1.333,"133,989",1.318,1.318,1.314,"50,000",1.298,"1,180,199",1.307,0.011,0.84,112,1.319,1.87,1.27,"1,556,228",2023-03-13 16:21:26.586547+00:00
,AKHI,Khaleej Ins,-,2.025,"24,605",1.944,1.944,1.922,"5,000",1.92,"292,293",1.999,-0.055,2.75,39,1.968,4.24,1.71,"575,089",2023-03-13 16:21:26.586547+00:00
,QGTS,Nakilat,-,3.485,"100,000",3.475,3.38,3.38,"884,047",3.38,"4,747,997",3.467,-0.087,2.51,653,3.431,4.23,3.315,"16,291,863",2023-03-13 16:21:26.586547+00:00
,GWCS,Warehousing,+,3.775,"36,570",3.760,3.76,3.55,"5,000",3.43,"29,805",3.75,0.01,0.27,6,3.754,5.006,2.9,"111,882",2023-03-13 16:21:26.586547+00:00
,QEWS,Electricity &Water,+,17.66,"8,000",17.58,17.56,17.56,"2,136",17.41,"776,562",17.55,0.01,0.06,610,17.57,20.0,16.76,"13,645,212",2023-03-13 16:21:26.586547+00:00
,QATI,Qatar Ins,-,1.648,"41,589",1.599,1.599,1.58,"25,000",1.599,"862,464",1.6,-0.001,0.06,64,1.605,2.59,1.5,"1,384,352",2023-03-13 16:21:26.586547+00:00
,QNNS,MILAHA,-,8.75,"4,183",8.680,8.68,8.351,"1,100",8.151,"1,016,340",8.785,-0.105,1.2,347,8.683,12.66,7.755,"8,824,553",2023-03-13 16:21:26.586547+00:00
,MCGS,Medicare,+,6.138,"28,124",6.138,6.138,5.853,"1,000",5.85,"63,572",6.099,0.039,0.64,34,6.009,7.825,5.505,"382,002",2023-03-13 16:21:26.586547+00:00
,BEMA,Beema,-,4.049,"1,000",4.040,3.78,3.78,"2,944",3.78,"82,688",4.086,-0.306,7.49,26,3.821,5.6,3.6,"315,953",2023-03-13 16:21:26.586547+00:00
,MERS,Al Meera,+,16.3,"7,335",16.30,16.3,16.11,900,15.9,"41,908",15.9,0.4,2.52,67,16.09,20.8,15.5,"674,181",2023-03-13 16:21:26.586547+00:00
,WDAM,Widam,-,1.407,"8,753",1.383,1.36,1.363,"10,000",1.36,"543,806",1.395,-0.035,2.51,27,1.389,3.405,1.302,"755,223",2023-03-13 16:21:26.586547+00:00
,QIMD,Ind.Manf Co,-,2.949,"1,127",2.917,2.771,2.774,"24,000",2.771,"33,940",2.985,-0.214,7.17,5,2.883,4.149,2.771,"97,840",2023-03-13 16:21:26.586547+00:00
,QOIS,Qatar&Oman,-,0.553,"3,089",0.545,0.54,0.54,94,0.54,"316,108",0.555,-0.015,2.7,21,0.542,0.954,0.527,"171,232",2023-03-13 16:21:26.586547+00:00
,FALH,Al Faleh Education,-,1.089,"33,399",1.057,1.057,1.021,"12,995",1.001,"123,250",1.085,-0.028,2.58,15,1.051,1.718,1.001,"129,567",2023-03-13 16:21:26.586547+00:00
,AHCS,Aamal,=,0.9,"192,246",0.875,0.875,0.871,"11,606",0.871,"364,534",0.875,0.0,0.0,49,0.877,1.33,0.871,"319,613",2023-03-13 16:21:26.586547+00:00
,DOHI,Doha Ins,=,1.95,"80,651",1.950,1.95,1.81,"6,116",1.82,"60,154",1.95,0.0,0.0,8,1.848,2.528,1.82,"111,135",2023-03-13 16:21:26.586547+00:00
,QISI,Islamic Ins,-,8.5,907,8.499,8.5,8.226,"30,000",8.5,"1,088",8.598,-0.098,1.14,2,8.5,9.475,7.97,"9,248",2023-03-13 16:21:26.586547+00:00
,ZHCD,Zad,=,0.0,55,14.64,14.2,14.2,643,0.0,0,14.2,0.0,0.0,0,0.0,20.95,13.4,0,2023-03-13 16:21:26.586547+00:00
,QLMI,QLM,+,3.3,"1,765",3.300,3.241,3.241,"24,400",3.24,"3,869",3.24,0.001,0.03,4,3.284,6.64,3.24,"12,707",2023-03-13 16:21:26.586547+00:00
,QGRI,General Ins,=,0.0,"20,000",0.950,0.895,0.9,"7,934",0.0,0,0.895,0.0,0.0,0,0.0,2.199,0.85,0,2023-03-13 16:21:26.586547+00:00
,QETF,QETF,-,10.43,"2,187",10.249,10.26,10.233,"2,268",10.26,"59,490",10.43,-0.17,1.63,32,10.343,14.5,10.213,"615,290",2023-03-13 16:21:26.586547+00:00
,QATR,QATR,-,2.354,"84,980",2.333,2.343,2.33,"85,836",2.343,"6,367",2.362,-0.019,0.8,6,2.347,3.194,2.092,"14,941",2023-03-13 16:21:26.586547+00:00
,ABQK,Ahli B,-,3.906,"6,000",4.120,3.905,3.905,"28,804",3.905,"42,352",3.906,-0.001,0.03,3,3.905,4.42,3.85,"165,394",2023-03-13 16:21:26.586547+00:00
,QCFS,Cinema,=,0.0,"2,000",3.394,3.397,3.06,"3,554",0.0,0,3.397,0.0,0.0,0,0.0,3.79,2.79,0,2023-03-13 16:21:26.586547+00:00
,ORDS,Ooredoo,-,9.007,"10,543",8.832,8.75,8.75,"10,000",8.45,"2,428,062",9.0,-0.25,2.78,699,8.781,10.69,7.001,"21,320,283",2023-03-14 16:21:26.511670+00:00
,UDCD,United Dev,-,1.082,"10,000",1.054,1.054,1.051,"93,000",1.052,"1,725,494",1.099,-0.045,4.09,150,1.072,1.63,1.052,"1,849,539",2023-03-14 16:21:26.511670+00:00
,DHBK,Doha B,-,1.679,"27,470",1.629,1.629,1.627,"5,500",1.625,"4,575,327",1.65,-0.021,1.27,291,1.641,2.85,1.58,"7,509,907",2023-03-14 16:21:26.511670+00:00
,MKDM,Mekdam Holding Group,-,7.385,"1,431",7.340,7.337,7.323,"1,036",7.251,"31,029",7.378,-0.041,0.56,17,7.332,8.684,5.9,"227,516",2023-03-14 16:21:26.511670+00:00
,IQCD,Industries Qatar,-,14.29,"22,743",14.10,14.06,14.06,"706,838",14.01,"6,597,941",14.25,-0.19,1.33,"1,582",14.07,20.35,12.7,"92,848,220",2023-03-14 16:21:26.511670+00:00
,MARK,Rayyan B,-,2.721,"50,000",2.640,2.619,2.619,"224,073",2.619,"15,099,071",2.719,-0.1,3.68,"1,733",2.676,5.98,2.582,"40,407,019",2023-03-14 16:21:26.511670+00:00
,IGRD,Estithmar,-,1.886,"135,753",1.790,1.78,1.78,"22,015",1.778,"17,476,131",1.894,-0.114,6.02,629,1.814,2.765,1.423,"31,709,000",2023-03-14 16:21:26.511670+00:00
,QAMC,QAMCO,-,1.71,"4,950",1.668,1.663,1.663,"155,269",1.66,"5,947,921",1.727,-0.064,3.71,352,1.673,2.819,1.46,"9,948,142",2023-03-14 16:21:26.511670+00:00
,QNBK,QNB,-,16.2,"6,297",15.88,15.75,15.75,"54,690",15.61,"3,335,856",16.01,-0.26,1.62,"2,309",15.8,27.0,15.54,"52,705,173",2023-03-14 16:21:26.511670+00:00
,QIBK,QIB,-,18.3,"6,000",17.83,17.53,17.53,"184,157",17.53,"1,608,992",17.91,-0.38,2.12,"1,279",17.89,28.0,17.53,"28,778,848",2023-03-14 16:21:26.511670+00:00
,GISS,Gulf Inter,-,1.709,"42,591",1.679,1.679,1.665,"28,563",1.66,"4,238,299",1.802,-0.123,6.83,199,1.69,2.348,1.449,"7,163,173",2023-03-14 16:21:26.511670+00:00
,QGMD,Qatar German Med,-,0.942,"32,557",0.909,0.9,0.9,"935,935",0.891,"2,629,669",0.942,-0.042,4.46,161,0.909,2.679,0.867,"2,391,181",2023-03-14 16:21:26.511670+00:00
,ERES,Ezdan,-,0.899,"1,071",0.850,0.85,0.845,"5,000",0.841,"5,270,230",0.883,-0.033,3.74,135,0.857,1.529,0.78,"4,518,901",2023-03-14 16:21:26.511670+00:00
,MRDS,Mazaya,-,0.569,"437,972",0.560,0.56,0.556,"400,000",0.554,"3,816,831",0.563,-0.003,0.53,73,0.559,1.003,0.522,"2,134,862",2023-03-14 16:21:26.511670+00:00
,DUBK,Dukhan Bank,-,2.936,"110,624",2.890,2.89,2.88,"21,000",2.88,"2,269,338",2.931,-0.041,1.4,374,2.915,4.0,2.84,"6,614,794",2023-03-14 16:21:26.511670+00:00
,MCCS,Mannai,-,5.99,"3,000",5.700,5.7,5.68,948,5.68,"687,481",6.06,-0.36,5.94,136,5.742,14.79,5.592,"3,947,480",2023-03-14 16:21:26.511670+00:00
,QFBQ,Lesha Bank,-,0.84,"291,299",0.830,0.83,0.817,"1,259,458",0.811,"1,868,223",0.855,-0.025,2.92,101,0.821,1.902,0.793,"1,533,289",2023-03-14 16:21:26.511670+00:00
,QIGD,Investors,-,1.842,"313,584",1.800,1.8,1.793,"11,500",1.793,"1,676,093",1.859,-0.059,3.17,109,1.807,2.7,1.575,"3,028,583",2023-03-14 16:21:26.511670+00:00
,QFLS,Qatar Fuel,+,16.85,"100,330",16.50,16.5,16.47,"1,604",16.01,"773,634",16.32,0.18,1.1,535,16.3,20.08,16.01,"12,608,419",2023-03-14 16:21:26.511670+00:00
,SIIS,Salam,-,0.531,"86,646",0.517,0.517,0.515,"27,115",0.515,"3,260,431",0.537,-0.02,3.72,92,0.522,1.154,0.481,"1,701,127",2023-03-14 16:21:26.511670+00:00
,BRES,Barwa,-,2.889,"10,000",2.790,2.78,2.78,"1,684",2.78,"1,462,632",2.849,-0.069,2.42,408,2.808,3.968,2.6,"4,106,666",2023-03-14 16:21:26.511670+00:00
,MPHC,Mesaied,-,2.065,"48,780",2.050,2.044,2.044,"99,053",2.031,"2,245,571",2.068,-0.024,1.16,398,2.045,3.127,1.995,"4,592,269",2023-03-14 16:21:26.511670+00:00
,VFQS,Vodafone,-,1.65,"58,250",1.643,1.643,1.635,"919,162",1.618,"3,013,872",1.647,-0.004,0.24,123,1.637,1.796,1.5,"4,932,499",2023-03-14 16:21:26.511670+00:00
,QIIK,QIIB,-,10.32,"9,756",10.25,10.15,10.15,"6,292",10.05,"1,661,545",10.3,-0.15,1.46,"1,025",10.19,14.39,9.55,"16,925,019",2023-03-14 16:21:26.511670+00:00
,NLCS,Nat.leasing,-,0.65,"23,532",0.640,0.635,0.635,"275,052",0.633,"1,854,896",0.647,-0.012,1.85,76,0.637,1.021,0.633,"1,181,658",2023-03-14 16:21:26.511670+00:00
,IHGS,Inma,-,3.2,"20,070",3.145,3.113,3.113,"99,829",3.11,"496,208",3.35,-0.237,7.08,46,3.132,6.68,2.8,"1,553,920",2023-03-14 16:21:26.511670+00:00
,CBQK,Commercial B,-,6.249,"16,170",6.184,6.16,6.1,"12,500",6.1,"3,092,898",6.199,-0.039,0.63,"1,025",6.174,8.699,4.8,"19,095,766",2023-03-14 16:21:26.511670+00:00
,DBIS,Dlala,+,0.728,"33,000",0.722,0.708,0.708,"490,418",0.699,"2,602,935",0.704,0.004,0.57,116,0.711,2.027,0.681,"1,850,541",2023-03-14 16:21:26.511670+00:00
,QNCD,Q Cement,-,4.277,"4,249",4.177,4.13,4.13,"1,456",4.13,"11,083",4.281,-0.151,3.53,8,4.14,5.589,4.12,"45,882",2023-03-14 16:21:26.511670+00:00
,BLDN,Baladna,-,1.31,"363,654",1.310,1.31,1.282,"20,000",1.281,"1,356,477",1.318,-0.008,0.61,84,1.299,1.87,1.27,"1,761,986",2023-03-14 16:21:26.511670+00:00
,AKHI,Khaleej Ins,-,1.92,"14,111",1.855,1.855,1.836,"6,000",1.855,"814,944",1.944,-0.089,4.58,53,1.881,4.24,1.71,"1,532,858",2023-03-14 16:21:26.511670+00:00
,QGTS,Nakilat,-,3.315,"54,202",3.199,3.15,3.15,"67,806",3.15,"4,378,219",3.38,-0.23,6.8,941,3.205,4.23,3.15,"14,033,253",2023-03-14 16:21:26.511670+00:00
,GWCS,Warehousing,-,3.648,"9,300",3.700,3.537,3.537,"38,507",3.512,"41,810",3.76,-0.223,5.93,9,3.554,5.006,2.9,"148,607",2023-03-14 16:21:26.511670+00:00
,QEWS,Electricity &Water,-,17.57,"1,465",17.47,17.43,17.43,"3,840",17.4,"753,807",17.56,-0.13,0.74,907,17.44,20.0,16.76,"13,149,397",2023-03-14 16:21:26.511670+00:00
,QATI,Qatar Ins,-,1.581,"5,026",1.569,1.56,1.56,"20,000",1.56,"424,572",1.599,-0.039,2.44,64,1.577,2.59,1.5,"669,442",2023-03-14 16:21:26.511670+00:00
,QNNS,MILAHA,+,8.857,"19,000",8.800,8.8,8.3,"1,111",8.201,"517,193",8.68,0.12,1.38,173,8.72,12.66,7.755,"4,509,993",2023-03-14 16:21:26.511670+00:00
,MCGS,Medicare,-,6.0,337,5.999,6.0,5.9,"1,300",5.89,"7,755",6.138,-0.138,2.25,4,5.968,7.825,5.505,"46,281",2023-03-14 16:21:26.511670+00:00
,BEMA,Beema,=,0.0,"1,000",3.900,3.78,3.75,"5,000",0.0,0,3.78,0.0,0.0,0,0.0,5.6,3.6,0,2023-03-14 16:21:26.511670+00:00
,MERS,Al Meera,-,15.99,52,14.75,14.7,14.7,20,14.67,"1,266,170",16.3,-1.6,9.82,293,14.92,19.72,14.67,"18,889,420",2023-03-14 16:21:26.511670+00:00
,WDAM,Widam,-,1.36,"5,000",1.320,1.311,1.314,"10,000",1.304,"439,310",1.36,-0.049,3.6,34,1.324,3.405,1.302,"581,497",2023-03-14 16:21:26.511670+00:00
,QIMD,Ind.Manf Co,+,2.8,"7,850",2.800,2.8,2.71,"4,169",2.71,"54,632",2.771,0.029,1.05,10,2.787,4.149,2.71,"152,265",2023-03-14 16:21:26.511670+00:00
,QOIS,Qatar&Oman,=,0.547,"59,547",0.540,0.54,0.52,"18,940",0.52,"416,515",0.54,0.0,0.0,22,0.538,0.944,0.52,"223,906",2023-03-14 16:21:26.511670+00:00
,FALH,Al Faleh Education,-,1.069,"37,783",1.041,1.041,1.031,"15,201",1.01,"306,830",1.057,-0.016,1.51,23,1.035,1.718,1.001,"317,471",2023-03-14 16:21:26.511670+00:00
,AHCS,Aamal,+,0.888,"16,500",0.887,0.888,0.842,650,0.86,"163,173",0.875,0.013,1.49,9,0.861,1.327,0.86,"140,512",2023-03-14 16:21:26.511670+00:00
,DOHI,Doha Ins,+,1.99,"4,958",1.977,1.98,1.825,"2,000",1.98,"2,071",1.95,0.03,1.54,3,1.987,2.528,1.82,"4,115",2023-03-14 16:21:26.511670+00:00
,QISI,Islamic Ins,=,0.0,907,8.495,8.5,8.23,"1,500",0.0,0,8.5,0.0,0.0,0,0.0,9.475,7.97,0,2023-03-14 16:21:26.511670+00:00
,ZHCD,Zad,+,14.64,"1,000",14.50,14.3,14.3,"4,242",14.2,"31,401",14.2,0.1,0.7,12,14.52,20.95,13.4,"455,770",2023-03-14 16:21:26.511670+00:00
,QLMI,QLM,=,0.0,"3,746",3.300,3.241,3.24,34,0.0,0,3.241,0.0,0.0,0,0.0,6.64,3.24,0,2023-03-14 16:21:26.511670+00:00
,QGRI,General Ins,=,0.0,"15,000",0.910,0.895,0.88,"2,239",0.0,0,0.895,0.0,0.0,0,0.0,2.199,0.85,0,2023-03-14 16:21:26.511670+00:00
,QETF,QETF,-,10.185,"2,294",10.117,10.14,10.106,"2,209",10.14,"24,698",10.26,-0.12,1.17,12,10.159,14.5,10.14,"250,906",2023-03-14 16:21:26.511670+00:00
,QATR,QATR,-,2.317,"86,918",2.301,2.308,2.3,"43,488",2.308,"206,600",2.343,-0.035,1.49,12,2.314,3.194,2.092,"478,063",2023-03-14 16:21:26.511670+00:00
,ABQK,Ahli B,=,3.905,"5,500",4.150,3.905,3.905,"5,000",3.905,"49,648",3.905,0.0,0.0,4,3.905,4.42,3.85,"193,875",2023-03-14 16:21:26.511670+00:00
,QCFS,Cinema,-,3.397,"1,511",3.393,3.3,3.06,"2,554",3.06,"3,069",3.397,-0.097,2.85,4,3.23,3.79,2.79,"9,912",2023-03-14 16:21:26.511670+00:00
,ORDS,Ooredoo,-,8.839,"22,243",8.710,8.710,8.611,"1,000",8.547,"1,068,819",8.750,-0.040,0.46,595,8.674,10.69,7.001,"9,270,838",2023-03-15 16:21:26.406709+00:00
,UDCD,United Dev,-,1.066,"5,000",1.055,1.044,1.044,"5,000",1.042,"1,080,934",1.054,-0.010,0.95,95,1.049,1.630,1.042,"1,134,087",2023-03-15 16:21:26.406709+00:00
,DHBK,Doha B,-,1.600,"27,688",1.562,1.561,1.561,"26,438",1.551,"4,040,116",1.629,-0.068,4.17,249,1.572,2.850,1.551,"6,352,401",2023-03-15 16:21:26.406709+00:00
,MKDM,Mekdam Holding Group,+,7.400,"20,750",7.400,7.400,7.393,"1,595",7.207,"417,567",7.337,0.063,0.86,253,7.385,8.684,5.900,"3,083,629",2023-03-15 16:21:26.406709+00:00
,IQCD,Industries Qatar,+,14.24,"144,452",14.12,14.12,14.06,"261,000",14.00,"5,258,821",14.06,0.06,0.43,"1,652",14.10,20.35,12.70,"74,129,607",2023-03-15 16:21:26.406709+00:00
,MARK,Rayyan B,-,2.653,"47,712",2.594,2.592,2.592,"748,552",2.592,"9,731,505",2.619,-0.027,1.03,"1,157",2.614,5.980,2.582,"25,442,988",2023-03-15 16:21:26.406709+00:00
